device,useragent
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_5_9; en-US) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/54.0.3901.219 Safari/537"
firefox,Mozilla/5.0 (Linux x86_64) Gecko/20130401 Firefox/72.5
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.2; Win64; x64; en-US Trident/7.0)
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4;; en-US) AppleWebKit/533.6 (KHTML, like Gecko) Chrome/53.0.2039.347 Safari/603.0 Edge/9.95178"
linux,Mozilla/5.0 (Linux x86_64) Gecko/20130401 Firefox/51.9
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.3; Win64; x64 Trident/7.0)
android,"Mozilla/5.0 (Linux; U; Android 5.0.2; HTC 80:number1-2e Build/LRX22G) AppleWebKit/535.25 (KHTML, like Gecko)  Chrome/52.0.1100.104 Mobile Safari/601.2"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; WOW64) AppleWebKit/536.20 (KHTML, like Gecko) Chrome/55.0.2151.391 Safari/600.4 Edge/14.72832"
chrome,"Mozilla/5.0 (Windows NT 6.2; x64; en-US) AppleWebKit/535.46 (KHTML, like Gecko) Chrome/53.0.1523.363 Safari/536"
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.1; x64 Trident/7.0)
android,"Mozilla/5.0 (Android; Android 5.0; HTC Butterfly S 901d Build/LRX22G) AppleWebKit/601.3 (KHTML, like Gecko)  Chrome/49.0.1955.167 Mobile Safari/537.5"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_9_0; en-US) Gecko/20100101 Firefox/65.8
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_0) AppleWebKit/537.45 (KHTML, like Gecko) Chrome/48.0.1477.200 Safari/600"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/601.43 (KHTML, like Gecko) Chrome/47.0.1956.364 Safari/537"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_1; en-US) AppleWebKit/600.9 (KHTML, like Gecko) Chrome/49.0.3639.384 Safari/537"
mobile,"Mozilla/5.0 (Linux; U; Android 7.1.1; GT-I9800 Build/KTU84P) AppleWebKit/535.4 (KHTML, like Gecko)  Chrome/53.0.3488.261 Mobile Safari/600.0"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_7_8) Gecko/20100101 Firefox/74.5
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2;; en-US) AppleWebKit/535.5 (KHTML, like Gecko) Chrome/51.0.2623.270 Safari/534"
android,"Mozilla/5.0 (Android; Android 5.0; LG-D715 Build/LRX22G) AppleWebKit/533.14 (KHTML, like Gecko)  Chrome/54.0.1109.289 Mobile Safari/536.1"
chrome,"Mozilla/5.0 (Windows NT 6.1;; en-US) AppleWebKit/535.37 (KHTML, like Gecko) Chrome/51.0.3720.376 Safari/533"
linux,Mozilla/5.0 (U; Linux i556 ) Gecko/20100101 Firefox/67.0
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_8_3; like Mac OS X) AppleWebKit/603.8 (KHTML, like Gecko)  Chrome/48.0.1783.286 Mobile Safari/534.2"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64; en-US) AppleWebKit/602.5 (KHTML, like Gecko) Chrome/48.0.3422.368 Safari/601.5 Edge/9.57123"
windows,Mozilla/5.0 (Windows; U; Windows NT 10.5; Win64; x64) Gecko/20100101 Firefox/63.0
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_0_2; en-US) Gecko/20100101 Firefox/49.4
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2; Win64; x64) AppleWebKit/600.32 (KHTML, like Gecko) Chrome/50.0.2737.327 Safari/537.2 Edge/13.22192"
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 10.4;; en-US Trident/5.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_7_8; like Mac OS X) AppleWebKit/603.14 (KHTML, like Gecko)  Chrome/51.0.2154.294 Mobile Safari/601.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_9_6; like Mac OS X) AppleWebKit/602.5 (KHTML, like Gecko)  Chrome/47.0.2432.314 Mobile Safari/603.1"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_6_2; en-US) AppleWebKit/536.39 (KHTML, like Gecko) Chrome/54.0.2292.109 Safari/537"
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/534.6 (KHTML, like Gecko) Chrome/55.0.1857.136 Safari/600"
edge,"Mozilla/5.0 (Windows; Windows NT 10.2;; en-US) AppleWebKit/536.22 (KHTML, like Gecko) Chrome/54.0.2816.360 Safari/536.1 Edge/11.90610"
mobile,"Mozilla/5.0 (Linux; U; Android 4.4; SM-G900T Build/KOT49H) AppleWebKit/534.36 (KHTML, like Gecko)  Chrome/48.0.2821.136 Mobile Safari/600.6"
mobile,"Mozilla/5.0 (Android; Android 5.1; MOTOROLA MOTO G Build/LMY47Z) AppleWebKit/534.7 (KHTML, like Gecko)  Chrome/48.0.1214.122 Mobile Safari/600.0"
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; Win64; x64; en-US) AppleWebKit/535.22 (KHTML, like Gecko) Chrome/55.0.3728.186 Safari/537.6 Edge/9.34645"
chrome,"Mozilla/5.0 (Windows; Windows NT 6.1; x64) AppleWebKit/602.8 (KHTML, like Gecko) Chrome/49.0.2629.239 Safari/603"
linux,Mozilla/5.0 (Linux; Linux i685 ; en-US) Gecko/20130401 Firefox/56.2
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.1;; en-US Trident/6.0)
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_1_6; like Mac OS X) AppleWebKit/601.7 (KHTML, like Gecko)  Chrome/49.0.2710.160 Mobile Safari/534.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_4; like Mac OS X) AppleWebKit/600.22 (KHTML, like Gecko)  Chrome/55.0.3148.397 Mobile Safari/533.6"
android,"Mozilla/5.0 (Linux; U; Android 4.4; LG-D951 Build/KOT49I) AppleWebKit/535.27 (KHTML, like Gecko)  Chrome/51.0.1419.286 Mobile Safari/601.5"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; WOW64; en-US) AppleWebKit/602.3 (KHTML, like Gecko) Chrome/52.0.1111.299 Safari/602.2 Edge/8.45395"
linux,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/535.26 (KHTML, like Gecko) Chrome/54.0.2973.175 Safari/534"
chrome,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/601.34 (KHTML, like Gecko) Chrome/50.0.2217.253 Safari/603"
linux,"Mozilla/5.0 (U; Linux i686 x86_64) AppleWebKit/602.38 (KHTML, like Gecko) Chrome/48.0.3827.214 Safari/601"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_7) Gecko/20100101 Firefox/58.9
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.3; WOW64 Trident/6.0)
chrome,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/537.20 (KHTML, like Gecko) Chrome/51.0.2004.116 Safari/533"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_4_9; like Mac OS X) AppleWebKit/537.3 (KHTML, like Gecko)  Chrome/53.0.3514.387 Mobile Safari/603.0"
mobile,"Mozilla/5.0 (Android; Android 6.0.1; HTC One0P8B2 dual sim Build/MRA58K) AppleWebKit/603.41 (KHTML, like Gecko)  Chrome/48.0.3295.163 Mobile Safari/602.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_8; like Mac OS X) AppleWebKit/533.42 (KHTML, like Gecko)  Chrome/51.0.1269.218 Mobile Safari/602.6"
linux,Mozilla/5.0 (U; Linux i586 ) Gecko/20100101 Firefox/73.2
android,"Mozilla/5.0 (Android; Android 5.1; Nexus 7 Build/LRX22C) AppleWebKit/537.38 (KHTML, like Gecko)  Chrome/52.0.1659.295 Mobile Safari/602.2"
chrome,"Mozilla/5.0 (Windows; Windows NT 6.1; Win64; x64; en-US) AppleWebKit/603.32 (KHTML, like Gecko) Chrome/50.0.3715.121 Safari/603"
chrome,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/602.12 (KHTML, like Gecko) Chrome/49.0.2471.243 Safari/536"
mobile,"Mozilla/5.0 (Linux; U; Android 5.1; SAMSUNG SM-G935H Build/MMB29M) AppleWebKit/600.49 (KHTML, like Gecko)  Chrome/50.0.1179.181 Mobile Safari/600.9"
android,"Mozilla/5.0 (Linux; U; Android 7.1; Pixel C Build/NRD90M) AppleWebKit/601.31 (KHTML, like Gecko)  Chrome/47.0.3643.105 Mobile Safari/536.9"
linux,"Mozilla/5.0 (Linux i553 ; en-US) AppleWebKit/600.5 (KHTML, like Gecko) Chrome/54.0.2655.127 Safari/535"
windows,Mozilla/5.0 (Windows; Windows NT 6.2;; en-US) Gecko/20100101 Firefox/59.1
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_4; like Mac OS X) AppleWebKit/603.35 (KHTML, like Gecko)  Chrome/52.0.3635.125 Mobile Safari/601.5"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_2_6; like Mac OS X) AppleWebKit/534.25 (KHTML, like Gecko)  Chrome/50.0.1085.204 Mobile Safari/600.9"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.1; Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.3; Win64; x64; en-US Trident/5.0)
windows,Mozilla/5.0 (Windows NT 10.0; WOW64; en-US) Gecko/20130401 Firefox/67.4
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.1; Trident/6.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_8_1; like Mac OS X) AppleWebKit/601.7 (KHTML, like Gecko)  Chrome/53.0.2513.382 Mobile Safari/601.5"
linux,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/601.20 (KHTML, like Gecko) Chrome/54.0.1184.372 Safari/603"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; Win64; x64) AppleWebKit/533.17 (KHTML, like Gecko) Chrome/55.0.1957.203 Safari/603.2 Edge/15.90090"
windows,"Mozilla/5.0 (Windows NT 10.5; Win64; x64; en-US) AppleWebKit/535.47 (KHTML, like Gecko) Chrome/51.0.2026.115 Safari/601"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 11_2_2; like Mac OS X) AppleWebKit/535.29 (KHTML, like Gecko)  Chrome/52.0.1483.359 Mobile Safari/600.3"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/537.47 (KHTML, like Gecko) Chrome/49.0.2999.363 Safari/603"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.3;; en-US) Gecko/20100101 Firefox/68.1
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_3; like Mac OS X) AppleWebKit/600.19 (KHTML, like Gecko)  Chrome/55.0.2964.268 Mobile Safari/534.7"
linux,"Mozilla/5.0 (Linux; Linux i555 ) AppleWebKit/537.25 (KHTML, like Gecko) Chrome/55.0.1285.214 Safari/601"
firefox,Mozilla/5.0 (Windows NT 10.2; WOW64; en-US) Gecko/20100101 Firefox/63.3
edge,"Mozilla/5.0 (Windows; Windows NT 10.3; Win64; x64) AppleWebKit/533.50 (KHTML, like Gecko) Chrome/47.0.1339.210 Safari/603.9 Edge/18.77444"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3_5; like Mac OS X) AppleWebKit/537.11 (KHTML, like Gecko)  Chrome/50.0.2765.151 Mobile Safari/536.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_3; like Mac OS X) AppleWebKit/603.49 (KHTML, like Gecko)  Chrome/49.0.3587.308 Mobile Safari/603.3"
windows,Mozilla/5.0 (Windows; U; Windows NT 10.2; WOW64; en-US) Gecko/20100101 Firefox/55.2
edge,"Mozilla/5.0 (Windows NT 10.5; WOW64; en-US) AppleWebKit/600.5 (KHTML, like Gecko) Chrome/54.0.3978.195 Safari/602.9 Edge/17.30271"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_2_8) Gecko/20100101 Firefox/60.7
mobile,"Mozilla/5.0 (Android; Android 5.1; Nexus 5 Build/LMY48B) AppleWebKit/534.23 (KHTML, like Gecko)  Chrome/54.0.2668.390 Mobile Safari/536.4"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2; WOW64) AppleWebKit/537.49 (KHTML, like Gecko) Chrome/48.0.2191.329 Safari/535.5 Edge/15.75594"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.4; WOW64; en-US) AppleWebKit/600.44 (KHTML, like Gecko) Chrome/52.0.1235.132 Safari/533"
linux,"Mozilla/5.0 (Linux; U; Linux i581 ) AppleWebKit/534.48 (KHTML, like Gecko) Chrome/52.0.2566.223 Safari/533"
windows,"Mozilla/5.0 (Windows NT 10.3; Win64; x64; en-US) AppleWebKit/537.18 (KHTML, like Gecko) Chrome/51.0.3194.201 Safari/601"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_9_9; like Mac OS X) AppleWebKit/602.49 (KHTML, like Gecko)  Chrome/49.0.2418.280 Mobile Safari/533.3"
edge,"Mozilla/5.0 (Windows NT 10.4;; en-US) AppleWebKit/603.40 (KHTML, like Gecko) Chrome/48.0.2371.143 Safari/602.2 Edge/10.47468"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_9; like Mac OS X) AppleWebKit/603.20 (KHTML, like Gecko)  Chrome/47.0.3639.327 Mobile Safari/535.5"
windows,"Mozilla/5.0 (Windows NT 10.2; WOW64) AppleWebKit/537.33 (KHTML, like Gecko) Chrome/50.0.1561.311 Safari/602.2 Edge/17.47811"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.3; x64) Gecko/20100101 Firefox/62.1
firefox,Mozilla/5.0 (Windows NT 6.1;; en-US) Gecko/20100101 Firefox/58.2
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.3; x64; en-US Trident/4.0)
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4; en-US) Gecko/20100101 Firefox/72.4
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.2;; en-US) AppleWebKit/535.42 (KHTML, like Gecko) Chrome/47.0.2905.173 Safari/535"
linux,Mozilla/5.0 (Linux; U; Linux i541 ) Gecko/20100101 Firefox/61.9
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_0_7; en-US) Gecko/20100101 Firefox/74.7
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/73.1
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_5_9; like Mac OS X) AppleWebKit/534.8 (KHTML, like Gecko)  Chrome/54.0.3141.221 Mobile Safari/600.0"
windows,"Mozilla/5.0 (Windows NT 6.1; WOW64; en-US) AppleWebKit/534.21 (KHTML, like Gecko) Chrome/52.0.2533.180 Safari/533"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_5_7; like Mac OS X) AppleWebKit/533.47 (KHTML, like Gecko)  Chrome/54.0.1461.183 Mobile Safari/600.1"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Win64; x64; en-US Trident/5.0)
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_6_0; en-US) AppleWebKit/603.9 (KHTML, like Gecko) Chrome/48.0.1957.374 Safari/537"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_1_5) AppleWebKit/536.35 (KHTML, like Gecko) Chrome/52.0.3794.283 Safari/537"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.3; WOW64 Trident/4.0)
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_5_7 like Mac OS X) AppleWebKit/534.44 (KHTML, like Gecko)  Chrome/51.0.2761.232 Mobile Safari/602.1"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_6_2; en-US) Gecko/20100101 Firefox/46.9
chrome,"Mozilla/5.0 (Windows NT 6.2;; en-US) AppleWebKit/600.19 (KHTML, like Gecko) Chrome/53.0.3797.163 Safari/603"
edge,"Mozilla/5.0 (Windows NT 10.4; WOW64) AppleWebKit/535.5 (KHTML, like Gecko) Chrome/49.0.1797.324 Safari/535.9 Edge/8.17041"
mobile,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/602.2 (KHTML, like Gecko)  Chrome/51.0.3754.243 Mobile Safari/535.9"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_5_4; like Mac OS X) AppleWebKit/602.11 (KHTML, like Gecko)  Chrome/51.0.3614.234 Mobile Safari/536.1"
mobile,"Mozilla/5.0 (Android; Android 7.1.1; Xperia V Build/NDE63X) AppleWebKit/534.4 (KHTML, like Gecko)  Chrome/52.0.1836.188 Mobile Safari/601.0"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_5_0; like Mac OS X) AppleWebKit/603.2 (KHTML, like Gecko)  Chrome/53.0.1404.377 Mobile Safari/600.4"
mobile,"Mozilla/5.0 (Linux; Android 7.1; Pixel C Build/NME91E) AppleWebKit/535.22 (KHTML, like Gecko)  Chrome/48.0.3251.225 Mobile Safari/537.7"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_2_2 like Mac OS X) AppleWebKit/602.5 (KHTML, like Gecko)  Chrome/54.0.3538.180 Mobile Safari/537.5"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_6_4; like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko)  Chrome/52.0.2579.390 Mobile Safari/602.3"
mobile,"Mozilla/5.0 (Linux; Android 7.1.1; LG-H930 Build/NRD90C) AppleWebKit/534.10 (KHTML, like Gecko)  Chrome/55.0.3921.220 Mobile Safari/534.5"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_2; like Mac OS X) AppleWebKit/602.28 (KHTML, like Gecko)  Chrome/52.0.1615.193 Mobile Safari/601.1"
chrome,"Mozilla/5.0 (Linux; Linux i652 ; en-US) AppleWebKit/600.41 (KHTML, like Gecko) Chrome/55.0.2772.326 Safari/600"
edge,"Mozilla/5.0 (Windows NT 10.4;; en-US) AppleWebKit/535.20 (KHTML, like Gecko) Chrome/55.0.3016.387 Safari/536.9 Edge/16.24918"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_7) AppleWebKit/603.46 (KHTML, like Gecko) Chrome/51.0.2607.128 Safari/600"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_5) AppleWebKit/602.36 (KHTML, like Gecko) Chrome/48.0.2051.161 Safari/534"
windows,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/55.0.2203.320 Safari/537.1 Edge/12.67878"
firefox,Mozilla/5.0 (Windows; Windows NT 6.3; WOW64) Gecko/20100101 Firefox/49.4
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; GT-I9100 Build/KTU84P) AppleWebKit/534.13 (KHTML, like Gecko)  Chrome/53.0.1096.195 Mobile Safari/601.7"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.3; Win64; x64) AppleWebKit/536.44 (KHTML, like Gecko) Chrome/53.0.2806.267 Safari/600"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_5_8 like Mac OS X) AppleWebKit/600.12 (KHTML, like Gecko)  Chrome/51.0.1771.317 Mobile Safari/600.9"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_6) AppleWebKit/533.13 (KHTML, like Gecko) Chrome/53.0.2433.105 Safari/537"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_8_9; like Mac OS X) AppleWebKit/601.49 (KHTML, like Gecko)  Chrome/48.0.3394.259 Mobile Safari/536.0"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_5_2; en-US) AppleWebKit/603.37 (KHTML, like Gecko) Chrome/50.0.3022.230 Safari/602"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_9) Gecko/20100101 Firefox/68.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_1; like Mac OS X) AppleWebKit/601.9 (KHTML, like Gecko)  Chrome/49.0.2865.249 Mobile Safari/536.7"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.1;; en-US) AppleWebKit/602.30 (KHTML, like Gecko) Chrome/55.0.1935.342 Safari/534.5 Edge/17.51117"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_4; en-US) Gecko/20100101 Firefox/55.7
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_4_6; like Mac OS X) AppleWebKit/600.5 (KHTML, like Gecko)  Chrome/54.0.2139.320 Mobile Safari/600.0"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_6_6; like Mac OS X) AppleWebKit/600.6 (KHTML, like Gecko)  Chrome/52.0.2940.289 Mobile Safari/603.6"
edge,"Mozilla/5.0 (Windows NT 10.5; Win64; x64; en-US) AppleWebKit/602.41 (KHTML, like Gecko) Chrome/52.0.2490.205 Safari/601.9 Edge/16.31178"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_2_9) Gecko/20130401 Firefox/60.3
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_3; en-US) Gecko/20130401 Firefox/57.4
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_6_5) Gecko/20100101 Firefox/70.0
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_3_9) Gecko/20100101 Firefox/60.5
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_2_6; en-US) Gecko/20100101 Firefox/74.3
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_7; like Mac OS X) AppleWebKit/602.47 (KHTML, like Gecko)  Chrome/52.0.1647.273 Mobile Safari/536.4"
android,"Mozilla/5.0 (Linux; U; Android 6.0.1; HTC One0P6B dual sim Build/MRA58K) AppleWebKit/600.39 (KHTML, like Gecko)  Chrome/47.0.3421.302 Mobile Safari/603.5"
linux,"Mozilla/5.0 (U; Linux i585 ; en-US) AppleWebKit/534.5 (KHTML, like Gecko) Chrome/52.0.2058.199 Safari/537"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3; Win64; x64 Trident/5.0)
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_0_0; en-US) Gecko/20100101 Firefox/68.8
chrome,"Mozilla/5.0 (Linux; Linux i561 ) AppleWebKit/601.13 (KHTML, like Gecko) Chrome/51.0.2184.242 Safari/534"
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/537.16 (KHTML, like Gecko) Chrome/52.0.1788.285 Safari/537"
android,"Mozilla/5.0 (Android; Android 4.4; Nexus5 V6.1 Build/KOT49H) AppleWebKit/603.37 (KHTML, like Gecko)  Chrome/47.0.1253.168 Mobile Safari/600.2"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_5) Gecko/20100101 Firefox/45.1
windows,"Mozilla/5.0 (Windows; Windows NT 10.1; WOW64) AppleWebKit/601.10 (KHTML, like Gecko) Chrome/49.0.2759.132 Safari/533"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2; like Mac OS X) AppleWebKit/602.14 (KHTML, like Gecko)  Chrome/54.0.2498.318 Mobile Safari/601.3"
android,"Mozilla/5.0 (Linux; U; Android 5.1; MOTO X FORCE XT1580 Build/LPC23) AppleWebKit/602.29 (KHTML, like Gecko)  Chrome/47.0.2420.306 Mobile Safari/602.3"
linux,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/534.27 (KHTML, like Gecko) Chrome/47.0.2879.309 Safari/602"
edge,"Mozilla/5.0 (Windows NT 10.5; x64; en-US) AppleWebKit/601.43 (KHTML, like Gecko) Chrome/49.0.1686.253 Safari/602.2 Edge/13.93466"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_7; like Mac OS X) AppleWebKit/534.5 (KHTML, like Gecko)  Chrome/48.0.2077.197 Mobile Safari/536.9"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_8; like Mac OS X) AppleWebKit/536.12 (KHTML, like Gecko)  Chrome/49.0.2001.399 Mobile Safari/602.2"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_4_6; like Mac OS X) AppleWebKit/603.10 (KHTML, like Gecko)  Chrome/54.0.2539.240 Mobile Safari/534.2"
linux,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/601.7 (KHTML, like Gecko) Chrome/51.0.1225.397 Safari/600"
windows,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/534.4 (KHTML, like Gecko) Chrome/51.0.1436.102 Safari/601.5 Edge/13.63398"
android,"Mozilla/5.0 (Android; Android 7.1.1; LG-H910 Build/NRD90M) AppleWebKit/602.29 (KHTML, like Gecko)  Chrome/51.0.3351.366 Mobile Safari/601.8"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_8; like Mac OS X) AppleWebKit/536.9 (KHTML, like Gecko)  Chrome/53.0.2455.176 Mobile Safari/600.7"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_5_2) Gecko/20100101 Firefox/49.5
firefox,Mozilla/5.0 (U; Linux i561 x86_64) Gecko/20130401 Firefox/47.2
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20130401 Firefox/71.2
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3_0; like Mac OS X) AppleWebKit/534.7 (KHTML, like Gecko)  Chrome/48.0.2179.237 Mobile Safari/535.7"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_2_2) Gecko/20100101 Firefox/67.6
linux,Mozilla/5.0 (Linux; U; Linux i645 x86_64; en-US) Gecko/20100101 Firefox/58.3
linux,Mozilla/5.0 (Linux; Linux i564 x86_64; en-US) Gecko/20100101 Firefox/71.5
mobile,"Mozilla/5.0 (Android; Android 6.0; HTC One_M8 Build/MRA58K) AppleWebKit/534.7 (KHTML, like Gecko)  Chrome/49.0.3672.377 Mobile Safari/537.9"
mobile,"Mozilla/5.0 (Linux; Android 5.0; LG-D337 Build/LRX22G) AppleWebKit/601.32 (KHTML, like Gecko)  Chrome/53.0.4000.101 Mobile Safari/533.3"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) Gecko/20130401 Firefox/47.5
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_2_4 like Mac OS X) AppleWebKit/533.38 (KHTML, like Gecko)  Chrome/53.0.1388.230 Mobile Safari/603.9"
firefox,Mozilla/5.0 (Windows NT 10.2; Win64; x64) Gecko/20100101 Firefox/51.7
android,"Mozilla/5.0 (Linux; Android 5.0.1; HTC 80:number1-2e Build/JSS15J) AppleWebKit/600.32 (KHTML, like Gecko)  Chrome/54.0.2479.331 Mobile Safari/535.8"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.5; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/50.0.2884.103 Safari/534"
firefox,Mozilla/5.0 (Windows; Windows NT 6.0; x64) Gecko/20100101 Firefox/68.9
